epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.5673,1.34846,6.28315,2.89032,1.60281,0.54104,0.60789,0.53744,0.4028,0.1268,0.08403,0.03537,0.01029,0.91927,5.24642,2.71092,1.26366,0.000225,0.000225,0.000225
2,6.69381,1.00722,3.93923,1.513,1.30053,0.66326,0.62874,0.66632,0.49051,0.43823,0.35681,0.32066,0.14301,0.99118,4.92277,2.65003,1.28321,0.000457921,0.000457921,0.000457921
3,9.75129,0.99255,2.88185,1.20862,1.27722,0.55361,0.63347,0.65811,0.47157,0.40064,0.44346,0.44078,0.24063,1.096,3.82932,2.5687,1.41041,0.00068614,0.00068614,0.00068614
4,12.7334,1.00083,2.15721,1.10252,1.28599,0.57762,0.4988,0.57151,0.40277,0.40995,0.43912,0.42727,0.26425,1.18742,2.69461,2.43517,1.70351,0.000909656,0.000909656,0.000909656
5,15.6645,0.97326,1.64939,1.05125,1.27364,0.68189,0.58719,0.65475,0.46766,0.69086,0.59329,0.64391,0.35833,1.07201,2.07888,2.39382,1.44557,0.00112847,0.00112847,0.00112847
6,18.6298,0.96202,1.53994,1.00199,1.25411,0.72783,0.64584,0.73754,0.52377,0.68058,0.63519,0.70277,0.4241,1.07491,2.08595,1.90192,1.27716,0.00118812,0.00118812,0.00118812
7,21.6192,0.91288,1.39841,0.87451,1.23547,0.81591,0.84284,0.84547,0.68242,0.81036,0.83745,0.85532,0.59026,0.82914,1.37185,1.07569,1.14933,0.00117575,0.00117575,0.00117575
8,24.5167,0.9265,1.37434,0.86695,1.2542,0.75193,0.77011,0.81294,0.63065,0.74407,0.77295,0.78958,0.50476,0.81708,2.09485,1.46164,1.1216,0.00116337,0.00116337,0.00116337
9,27.4665,0.89449,1.23925,0.85329,1.22526,0.78617,0.81368,0.85908,0.71215,0.78152,0.80956,0.85313,0.62459,0.73393,1.2201,1.14389,1.05989,0.001151,0.001151,0.001151
10,30.5045,0.89533,1.19244,0.82841,1.23389,0.85961,0.81126,0.88335,0.7443,0.85057,0.84347,0.90056,0.6662,0.68998,1.30168,1.11592,0.99362,0.00113863,0.00113863,0.00113863
11,33.7257,0.82689,1.14314,0.78358,1.1771,0.885,0.80873,0.8819,0.73623,0.884,0.81237,0.88585,0.66288,0.661,1.16386,0.8573,0.97792,0.00112625,0.00112625,0.00112625
12,36.6044,0.83611,1.11202,0.76165,1.18765,0.82198,0.82246,0.87873,0.73221,0.83029,0.83894,0.89071,0.64404,0.69155,1.20152,0.92089,1.03679,0.00111388,0.00111388,0.00111388
13,39.4707,0.86369,1.14703,0.75659,1.20297,0.87581,0.82769,0.89706,0.71301,0.88842,0.83766,0.90335,0.6272,0.88271,1.0383,1.07337,1.24212,0.0011015,0.0011015,0.0011015
14,42.339,0.81408,1.01978,0.71411,1.15587,0.87722,0.86309,0.89963,0.75507,0.88604,0.87283,0.9149,0.66467,0.69526,0.90753,0.86964,1.02655,0.00108913,0.00108913,0.00108913
15,45.344,0.857,1.09974,0.76671,1.19504,0.89271,0.79376,0.89445,0.72756,0.85211,0.83094,0.89788,0.61643,0.7568,1.01309,0.81179,1.00555,0.00107675,0.00107675,0.00107675
16,48.2068,0.87278,1.03213,0.7679,1.20452,0.91378,0.85296,0.90636,0.74224,0.91408,0.85721,0.91194,0.67056,0.75084,0.94348,0.75076,1.04128,0.00106437,0.00106437,0.00106437
17,51.1005,0.82367,1.01667,0.73401,1.16268,0.81227,0.80032,0.84771,0.67097,0.82326,0.82733,0.85969,0.57996,1.03383,0.94798,0.93852,1.3757,0.001052,0.001052,0.001052
18,54.0519,0.78603,0.89982,0.69442,1.15985,0.87005,0.76171,0.86427,0.71943,0.85835,0.78028,0.86698,0.65192,0.72224,0.80822,0.82426,1.03711,0.00103962,0.00103962,0.00103962
19,56.9,0.8191,0.93318,0.72588,1.16291,0.8947,0.84961,0.89362,0.75969,0.90843,0.84645,0.89767,0.66677,0.6276,0.86274,0.66023,0.92262,0.00102725,0.00102725,0.00102725
20,59.7913,0.79504,0.8743,0.67551,1.15581,0.91225,0.85535,0.89874,0.76089,0.91706,0.86335,0.90526,0.68385,0.65241,0.73872,0.68344,0.95187,0.00101488,0.00101488,0.00101488
21,62.8851,0.78728,0.90514,0.67694,1.1454,0.90146,0.89988,0.92396,0.79546,0.90371,0.90167,0.93112,0.71362,0.61535,0.754,0.62178,0.90603,0.0010025,0.0010025,0.0010025
22,65.9019,0.77367,0.95163,0.69208,1.15474,0.89363,0.8731,0.92513,0.8013,0.89727,0.88794,0.93318,0.73343,0.59642,0.71295,0.68616,0.89889,0.000990125,0.000990125,0.000990125
23,68.8699,0.73436,0.86546,0.67323,1.13013,0.94813,0.88826,0.93495,0.80925,0.94282,0.88505,0.93621,0.72531,0.59305,0.77898,0.5163,0.87957,0.00097775,0.00097775,0.00097775
24,71.7964,0.74023,0.83803,0.65443,1.12651,0.92265,0.87679,0.91731,0.79794,0.92086,0.87548,0.92171,0.73206,0.58937,0.72015,0.58039,0.87118,0.000965375,0.000965375,0.000965375
25,74.7699,0.75495,0.8493,0.66039,1.16368,0.95389,0.87477,0.92329,0.80524,0.96562,0.89069,0.93763,0.72604,0.60763,0.76612,0.60876,0.91903,0.000953,0.000953,0.000953
26,77.7118,0.72463,0.80883,0.64953,1.13171,0.94683,0.88836,0.92707,0.80844,0.92094,0.89528,0.93457,0.72644,0.6391,0.74225,0.72681,0.94626,0.000940625,0.000940625,0.000940625
